Time [s]	HAMr Torque1 [Nm]	HAMr Torque2 [Nm]	GLUr Torque1 [Nm]	HFLr Torque1 [Nm]	RFr Torque1 [Nm]	RFr Torque2 [Nm]	VASr Torque1 [Nm]	GASr Torque1 [Nm]	GASr Torque2 [Nm]	SOLr Torque1 [Nm]	TAr Torque1 [Nm]	HAMl Torque1 [Nm]	HAMl Torque2 [Nm]	GLUl Torque1 [Nm]	HFLl Torque1 [Nm]	RFl Torque1 [Nm]	RFl Torque2 [Nm]	VASl Torque1 [Nm]	GASl Torque1 [Nm]	GASl Torque2 [Nm]	SOLl Torque1 [Nm]	TAl Torque1 [Nm]	Hipr Angle [rad]	Kneer Angle [rad]	Ankler Angle [rad]	Hipl Angle [rad]	Kneel Angle [rad]	Anklel Angle [rad]	COM Position X [m]	COM Position Y [m]	COM Position Z [m]	COM Velocity X [m/s]	COM Velocity Y [m/s]	COM Velocity Z [m/s]	Footr Position X [m/s]	Footr Position Y [m/s]	Footr Position Z [m/s]	Footl Position X [m/s]	Footl Position Y [m/s]	Footl Position Z [m/s]	Stancer	Swingr	SPr	SIr	Stancel	Swingl	SPl	SIl	
0	-0	-0	-0	0	-0	-0	-0	-0	-0	-0	-0	-27.9354	-17.4597	-27.9354	0	-27.9354	-17.4597	-27.9354	-27.9354	-17.4597	-27.9354	-27.9354	3.05892	3.14159	1.5052	2.62284	3.14159	1.5052	0.498029	1.12057	-0.252186	0	0	-1.11568	0.664	0.14461	-0.270182	0.332	0.227061	-0.631751	0	1	1	0	0	1	1	0
0.000333333	0	0	-0	0	-0	0	-0	-0	0	-0	-0	0	0	-0	0	-0	0	-0	-0	0	-0	-0	3.05892	3.14159	1.5052	2.62284	3.14159	1.5052	0.498029	1.12057	-0.252558	3.9746e-06	-0.00316852	-1.1157	0.664	0.14461	-0.270182	0.332	0.227061	-0.631751	1	0	0	0	0	1	1	0
0.000666667	-0	-0	0	0	0	0	0	0	0	0	0	-23.8016	-14.876	0	0	0	0	0	0	0	0	0	3.05904	3.14159	1.5051	2.62296	3.14159	1.50483	0.498029	1.12057	-0.25293	-9.56379e-06	-0.00635804	-1.11573	0.664	0.14461	-0.270182	0.332	0.227061	-0.631751	1	0	0	0	0	1	1	0
0.001	0	0	-0	0	0	0	0	-3.98903	-4.76601	0	0	0	0	-23.8016	0	0	0	0	-3.98903	-4.76601	0	0	3.05926	3.14159	1.50492	2.62318	3.14159	1.50426	0.498029	1.12056	-0.253302	-2.48517e-05	-0.00954194	-1.11577	0.664001	0.144617	-0.269985	0.332001	0.226946	-0.63161	1	0	0	0	0	1	1	0
0.00133333	-0	-0	-0	0	0	0	-3.98903	-0	-0	-0	-0	-20.4709	-12.7943	-0	0	0	0	-3.98903	-23.8016	-14.876	-0	-0	3.05957	3.14159	1.50467	2.62348	3.14159	1.50343	0.498029	1.12056	-0.253674	-4.24377e-05	-0.0127393	-1.1158	0.664001	0.144617	-0.269985	0.332001	0.226946	-0.63161	1	0	0	0	0	1	1	0
0.00166667	0	0	0	0	-0	0	-0	-0	0	-3.98903	0	0	0	0	0	-0	0	-23.8016	-0	0	-3.98903	0	3.05996	3.14159	1.50436	2.62387	3.14159	1.50237	0.498029	1.12056	-0.254046	-7.13872e-05	-0.0159538	-1.1158	0.664001	0.144617	-0.269985	0.332001	0.226946	-0.63161	1	0	0	0	0	1	1	0
0.002	-0	-0	-0	0	0	0	-0	0	0	-0	-3.98903	-17.7585	-11.099	-20.4709	0	0	0	-0	0	0	-23.8016	-3.98903	3.06042	3.14159	1.504	2.62432	3.14159	1.50116	0.498029	1.12055	-0.254418	-9.48333e-05	-0.0191365	-1.11583	0.664002	0.144627	-0.269572	0.332005	0.226698	-0.631312	1	0	0	0	0	1	1	0
0.00233333	0	0	-0	0	-3.98903	-4.76601	0	-3.82641	-4.57171	-0	-0	0	0	-0	0	-3.98903	-4.76601	0	-3.82641	-4.57171	-0	-23.8016	3.06093	3.14159	1.5036	2.62484	3.14159	1.49978	0.498029	1.12054	-0.25479	-0.000106685	-0.0223253	-1.11586	0.664002	0.144627	-0.269572	0.332005	0.226698	-0.631312	1	0	0	0	0	1	1	0
0.00266667	-0	-0	0	0	-0	-0	0	-0	-0	0	-0	-15.503	-9.68938	0	0	-23.8016	-14.876	0	-20.4709	-12.7943	0	-0	3.0615	3.14159	1.50316	2.62541	3.14159	1.4983	0.498029	1.12053	-0.255162	-0.000107812	-0.0255062	-1.11589	0.664002	0.144627	-0.269572	0.332005	0.226698	-0.631312	1	0	0	0	0	1	1	0
0.003	0	0	-0	0	-0	0	-3.82641	-0	0	0	0	0	0	-17.7585	0	-0	0	-3.82641	-0	0	0	0	3.06211	3.14159	1.50268	2.62602	3.14159	1.49669	0.498029	1.12052	-0.255534	-0.000104701	-0.0286858	-1.11592	0.664002	0.144641	-0.269015	0.332011	0.226349	-0.630906	1	0	0	0	0	1	1	0
0.00333333	-0	-0	-0	0	0	0	-0	0	0	-0	0	-13.6295	-8.51841	-0	0	0	0	-20.4709	0	0	-0	0	3.06277	3.14159	1.50217	2.62667	3.14159	1.49501	0.498029	1.12051	-0.255906	-0.000102911	-0.0318669	-1.11596	0.664002	0.144641	-0.269015	0.332011	0.226349	-0.630906	1	0	0	0	0	1	1	0
0.00366667	0	0	0	0	0	0	-0	-3.68172	-4.39863	-3.82641	-0	0	0	0	0	0	0	-0	-3.69638	-4.41564	-3.82641	-0	3.06345	3.14159	1.50163	2.62736	3.14159	1.49325	0.498029	1.1205	-0.256278	-9.87791e-05	-0.0350485	-1.11599	0.664002	0.144641	-0.269015	0.332011	0.226349	-0.630906	1	0	0	0	0	1	1	0
0.004	-0	-0	-0	0	0	0	0	-0	-0	-0	0	-12.0471	-7.52942	-15.503	0	0	0	0	-17.7585	-11.099	-20.4709	0	3.06417	3.14159	1.50107	2.62808	3.14159	1.49143	0.498029	1.12049	-0.25665	-9.2007e-05	-0.03823	-1.11602	0.664	0.144657	-0.268366	0.33202	0.225925	-0.630427	1	0	0	0	0	1	1	0
0.00433333	0	0	-0	0	-0	0	0	-0	0	-0	-3.82641	0	0	-0	0	-0	0	0	-0	0	-0	-3.82641	3.06491	3.14159	1.50048	2.62883	3.14159	1.48957	0.498029	1.12047	-0.257022	-8.36158e-05	-0.0414118	-1.11605	0.664	0.144657	-0.268366	0.33202	0.225925	-0.630427	1	0	0	0	0	1	1	0
0.00466667	-0	-0	0	0	0	0	-3.68172	0	0	0	-0	-10.7032	-6.6895	0	0	0	0	-3.69638	0	0	0	-20.4709	3.06568	3.14159	1.49988	2.6296	3.14159	1.48767	0.498029	1.12046	-0.257394	-6.52748e-05	-0.0445958	-1.11608	0.664	0.144657	-0.268366	0.33202	0.225925	-0.630427	1	0	0	0	0	1	1	0
0.005	0	0	-0	0	-3.82641	-4.57171	-0	-3.54985	-4.24076	0	-0	0	0	-13.6295	0	-3.82641	-4.57171	-17.7585	-3.58544	-4.28202	0	-0	3.06646	3.14159	1.49926	2.6304	3.14159	1.48576	0.498029	1.12044	-0.257766	-5.43191e-05	-0.0477782	-1.11611	0.663998	0.144675	-0.267656	0.332031	0.225442	-0.629896	1	0	0	0	0	1	1	0
0.00533333	-0	-0	-0	0	-0	-0	-0	-0	-0	-0	0	-9.5469	-5.96681	-0	0	-20.4709	-12.7943	-0	-15.503	-9.68938	-0	0	3.06727	3.14159	1.49862	2.63121	3.14159	1.48382	0.498029	1.12043	-0.258138	-2.97163e-05	-0.0509572	-1.11614	0.663998	0.144675	-0.267656	0.332031	0.225442	-0.629896	1	0	0	0	0	1	1	0
0.00566667	0	0	0	0	-0	0	0	-0	0	-3.68172	0	0	0	0	0	-0	0	0	-0	0	-3.69638	0	3.06833	3.14159	1.49797	2.63228	3.14159	1.48191	0.498029	1.12041	-0.25851	1.00716e-06	-0.0541416	-1.11617	0.663998	0.144675	-0.267656	0.332031	0.225442	-0.629896	1	0	0	0	0	1	1	0
0.006	-0	-0	-0	0	0	0	0	0	0	-0	-0	-8.55794	-5.34871	-12.0471	0	0	0	0	0	0	-17.7585	-0	3.06941	3.14159	1.49731	2.63337	3.14159	1.48	0.498029	1.12039	-0.258882	3.03315e-05	-0.0573245	-1.1162	0.663994	0.144692	-0.266912	0.332044	0.224911	-0.629334	1	0	0	0	0	1	1	0
0.00633333	0	0	-0	0	0	0	-3.54985	-3.43135	-4.09874	-0	0	0	0	-0	0	0	0	-3.58544	-3.496	-4.17368	-0	0	3.07051	3.14159	1.49665	2.63447	3.14159	1.47809	0.498029	1.12037	-0.259254	5.92693e-05	-0.0605075	-1.11623	0.663994	0.144692	-0.266912	0.332044	0.224911	-0.629334	1	0	0	0	0	1	1	0
0.00666667	-0	-0	0	0	0	0	-0	-0	-0	0	-3.68172	-7.70126	-4.81328	0	0	0	0	-15.503	-13.6295	-8.51841	0	-3.69638	3.07161	3.14159	1.49597	2.63558	3.14159	1.4762	0.498029	1.12035	-0.259626	9.23754e-05	-0.0636913	-1.11626	0.663994	0.144692	-0.266912	0.332044	0.224911	-0.629334	1	0	0	0	0	1	1	0
0.007	0	0	-0	0	-0	0	-0	-0	0	0	-0	0	0	-10.7032	0	-0	0	-0	-0	0	0	-17.7585	3.07272	3.14159	1.49529	2.6367	3.14159	1.47433	0.498029	1.12033	-0.259998	0.000123012	-0.0668718	-1.11629	0.66399	0.144708	-0.266146	0.332059	0.224335	-0.628747	1	0	0	0	0	1	1	0
0.00733333	-0	-0	-0	0	0	0	0	0	0	-0	-0	-6.95193	-4.34496	-0	0	0	0	0	0	0	-0	-0	3.07383	3.14159	1.4946	2.63783	3.14159	1.47248	0.498029	1.1203	-0.26037	0.000126684	-0.0700649	-1.11631	0.66399	0.144708	-0.266146	0.332059	0.224335	-0.628747	1	0	0	0	0	1	1	0
0.00766667	0	0	0	0	-3.68172	-4.39863	0	-3.32292	-3.96867	-3.54985	0	0	0	0	0	-3.69638	-4.41564	0	-3.42557	-4.08768	-3.58544	0	3.0738	3.14123	1.49379	2.63785	3.14129	1.4707	0.498029	1.12028	-0.260743	8.42738e-05	-0.0732499	-1.11634	0.66399	0.144708	-0.266146	0.332059	0.224335	-0.628747	1	0	0	0	0	1	1	0
0.008	-0	-0	-0	0.0173583	-0	-0	-3.43135	-0	-0	-0	0	-6.29574	-3.93484	-9.5469	0	-17.7585	-11.099	-3.496	-12.0471	-7.52942	-15.503	0	3.0738	3.1409	1.493	2.6379	3.14102	1.46898	0.498029	1.12025	-0.261115	7.16436e-05	-0.0764287	-1.11637	0.663982	0.144727	-0.265337	0.332077	0.223741	-0.628106	1	0	0	0	0	1	1	0
0.00833333	0	0	-0	0.812132	-0	0	-0	-0	0	-0	-0	0	0	-0	0	-0	0	-13.6295	-0	0	-0	-0	3.07381	3.1406	1.49222	2.63796	3.14079	1.46732	0.498029	1.12023	-0.261487	9.2391e-05	-0.0796073	-1.1164	0.663982	0.144727	-0.265337	0.332077	0.223741	-0.628106	1	0	0	0	0	1	1	0
0.00866667	-0	-0	0	2.70392	0	0	-0	0	0	0	0	-5.71724	-3.57328	0	0	0	0	-0	0	0	0	0	3.07385	3.14033	1.49145	2.63805	3.14058	1.46572	0.498029	1.1202	-0.261859	0.000112485	-0.082789	-1.11643	0.663982	0.144727	-0.265337	0.332077	0.223741	-0.628106	1	0	0	0	0	1	1	0
0.009	0	0	-0	5.50796	0	0	0	-3.22442	-3.85043	0	-3.54985	0	0	-8.55794	0	0	0	0	-3.36638	-4.01488	0	-3.58544	3.07391	3.14009	1.49068	2.63817	3.1404	1.46417	0.498029	1.12017	-0.262231	0.000126165	-0.0859771	-1.11646	0.663972	0.144743	-0.26455	0.332097	0.223109	-0.627481	1	0	0	0	0	1	1	0
0.00933333	-0	-0	-0	8.99932	0	0	0	-0	-0	-0	-0	-5.20721	-3.2545	-0	0	0	0	0	-10.7032	-6.6895	-0	-15.503	3.07399	3.13987	1.48992	2.6383	3.14024	1.46269	0.498029	1.12014	-0.262603	0.000132165	-0.0891596	-1.11648	0.663972	0.144743	-0.26455	0.332097	0.223109	-0.627481	1	0	0	0	0	1	1	0
0.00966667	0	0	0	12.9537	-0	0	-3.32292	-0	0	-3.43135	-0	0	0	0	0	-0	0	-3.42557	-0	0	-3.496	-0	3.07408	3.13966	1.48917	2.63846	3.14011	1.46126	0.498029	1.12011	-0.262975	0.000151981	-0.0923423	-1.11651	0.663972	0.144743	-0.26455	0.332097	0.223109	-0.627481	1	0	0	0	0	1	1	0
0.01	-0	-0	-0	17.207	0	0	-0	0	0	-0	0	-4.81192	-3.00745	-7.70126	0	0	0	-12.0471	0	0	-13.6295	0	3.07418	3.13946	1.48842	2.63863	3.14	1.4599	0.498029	1.12008	-0.263348	0.000160552	-0.0955245	-1.11654	0.663962	0.144757	-0.263776	0.332119	0.222443	-0.62687	1	0	0	0	0	1	1	0
0.0103333	0	0	-0	21.6223	-3.54985	-4.24076	-0	-3.1342	-3.74203	-0	0	0	0	-0	0	-3.58544	-4.28202	-0	-3.32045	-3.95768	-0	0	3.07429	3.13927	1.48767	2.63881	3.13991	1.45859	0.498029	1.12004	-0.26372	0.000153543	-0.0987073	-1.11657	0.663962	0.144757	-0.263776	0.332119	0.222443	-0.62687	1	0	0	0	0	1	1	0
0.0106667	-0	-0	0	26.098	-0	-0	0	-0	-0	0	-0	-4.49348	-2.80842	0	0	-15.503	-9.68938	0	-9.5469	-5.96681	0	-0	3.07439	3.13908	1.48691	2.63901	3.13984	1.45735	0.498029	1.12001	-0.264092	0.000157901	-0.101895	-1.11659	0.663962	0.144757	-0.263776	0.332119	0.222443	-0.62687	1	0	0	0	0	1	1	0
